Molecule	PC1	PC2	PC3	PC4	PC5
1-bromopropane	-3.637004126775471	3.3572008523152426	6.610975455531493	2.2926077313088404	-2.5902278326764376
1-butene	-3.933189044436247	-6.7162507753097005	0.3292839537760965	0.18783234278418778	0.19007536421720636
1-chloro-2,2,2-trifluoroethane	-2.3833691235238446	5.346630942469951	10.649929447541263	0.9360147792290976	-0.6611897343526785
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-1.3068891529921067	11.382718321600416	-5.066850716399984	-0.7454613487560594	-7.5647882153784405
1-chloropentane	-0.37334442631264064	13.051085172255448	4.040716784923443	-10.148733303659297	-8.253915573644237
1-chloropropane	-2.986138295117135	4.839578723619772	10.189921193806889	0.5414333195013629	-0.7583645407516524
1-hexene	-3.94802887596796	-6.567660393874861	0.41968931521228475	0.2059109296080103	0.14140386356554407
1-hexyne	-2.9741267544549523	0.9527155814021335	8.478946997015981	-0.8401707461131012	0.9485035544583815
1-methylthymine	-1.993335808629228	-2.6117376676823545	-1.2919260955760101	4.2043660733024915	0.9239808594469242
1-nitrobutane	0.0744151963440294	10.622954365866084	-7.0916650610399	-0.09895475330400702	-2.8407317480603
1-nitropropane	-0.13298373557254187	9.532402032833366	-7.099778920355359	-0.15855152270629275	-3.738647597464436
1-pentene	-4.150549418851154	-6.750659161974295	-0.19649310391525998	0.491933116537806	-0.26240071475577076
1-pentyne	-3.491400836214973	0.6616944943904871	6.725220525601429	0.19327674901343272	-0.37837919149588595
1-propanethiol	-4.025182072161692	-6.208717365898033	0.5335940730989032	0.31857229180491203	-0.06734946634256489
2,2,2-trifluoroethanol	-4.265892094632597	-11.794705463870406	-5.461233002165886	0.7240232798624584	-1.0703806069905557
2,2,3-Trichlorobiphenyl	-1.1220476752714312	9.160100180005365	-1.5410504350852299	4.688671746079423	-6.832508905990549
2,2,4-trimethylpentane	2.2524802219380975	17.408949718695496	-18.526726090748404	-0.6017192564140602	3.3706376318531177
2,2-dichlorobiphenyl	-1.1821234639447926	2.7286618960478464	-2.9540841069341113	7.906951958785111	-3.5773219771156928
2,2-dichloroethenyl_dimethyl_phosphate	-0.596844133866371	4.459747746031492	-8.187234248451894	-10.33637073014753	4.718903673640079
2,2-dimethylpropane	-1.1560715573906866	14.749350771479047	20.738889562313634	-3.9990341594019374	0.4242390084926654
2,3-dichlorobiphenyl	-1.47285391380033	2.408030206116073	-2.7228352614648106	7.106312764473907	-2.2432317287188424
2,4,5-Trichlorophenol	-2.0915354332778966	-0.40320284482267144	-4.185186671826557	-4.346370777257534	6.762566811262461
2,4,5-Trichlorophenoxyacetic_acid	3.954531882520211	-15.758062521241461	-6.383614688281791	2.261458949156017	-2.098014967348441
2,4-dichlorophenyl_thiophosphate	9.771419180991108	-5.831130151131583	2.361298860859813	1.6336559655155332	5.83049854295693
2,4-dimethylpentane	1.5674354185744215	7.9230142067822555	-7.584092723681749	0.5983665097929852	-1.7410305635094563
