Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28
1-2-pentanediol	-1.260365833965456	13.474858311258386	-4.383692126096074	-3.1894521586956133	0.48240423754194545	-1.1860289887029543	-3.7637038489331283	3.496101745031971	5.78763834611325	1.1730175938684397	0.5423905123645958	-7.7054407656953785	2.828682109965367	0.30118167782550775	-0.2307610569538771	3.550900805863548	1.9828096182004722	3.5490647417175447	-0.6943420539034404	1.0929815689523619	0.7644030489311768	-1.317078070369156	-0.801219898598468	2.0965818783932373	0.7997474107646931	4.0365566055415725	-0.9031543066345522	0.9837884397619123
1-2-propanediol	-3.9541971693570326	8.992766199507447	-0.12523540251528545	-4.255643736866091	-0.12189094885510321	1.1418973740103322	4.391029830479498	3.170177283033599	0.014718371847659421	-3.2076558193324307	0.28541696358593954	-2.213842823359059	1.8829609317520632	-0.2789052041095716	3.9340602936430207	1.5936127999613463	1.0172252668682826	6.630195316267009	-0.14825051060342895	-3.033652049797656	4.313535221347346	3.5779255739619957	-1.4668608911885652	0.23588623073641526	-3.872607040254509	-0.9711769620882102	1.6055600870105715	0.24458640842146148
1-3-butanediol	-2.8432599807126797	7.447702517273142	-4.703321264772128	-0.9255909298943645	-3.772712895022416	-5.531895264108201	4.104679141644655	-2.2811449740671716	-6.679352893552353	-1.8456052703541954	2.124111347307616	2.490758741540661	3.3936253301172252	1.7333877410419039	1.4493430636870885	-1.3287672794708345	-5.1559577132507695	-2.6635769722452545	1.7423020949643213	-0.5969248129722028	1.430642531844655	-0.5491987314291776	1.363599095519246	4.476779923944455	-0.7117509484194469	1.300955067650764	1.269243687884358	-1.9851923335257118
1-4-Benzenediol	0.9875231362779262	-8.332427135061609	-9.696854148776648	3.431031686469939	12.774174042321752	-4.891510045419098	1.2106193531312481	4.912137343142106	-2.497086438309123	0.45794824181981036	-2.1206569420815873	0.07782350788131953	-2.147687814571459	-6.193852868595783	2.133867879607471	-4.691604711960869	5.666933304477469	-2.9230597519180455	0.5972161080207101	-5.202236004685738	2.040653603087021	-0.024825851208496584	-5.512610800598104	-1.546648500120363	2.230118457333638	-2.172146811657959	-0.5693559294856689	-0.3793246473731497
1-4-butanediol	-2.7308432529882385	12.082625434564696	-0.08918980498721825	-3.37916803402284	-0.6302664889924728	3.302943640324448	-1.218202156034246	3.9938868980427613	0.24592408716135816	-3.945489659327721	-2.7294139760969096	-3.8589163104795636	1.803379397245485	-4.013965141091458	-3.999242956798635	0.5871901733867444	3.052744349533282	3.757233192512828	3.99312841818462	-0.038096279772532805	1.5439362193442818	-0.8945249761605657	-1.6950917843370752	2.3149688002998037	-0.7745774678022177	-0.8603499941003124	2.974152715809599	1.3557247647381918
1-bromo-1,2,2,2-tetrafluoroethane	-1.3903846373727669	5.189123557066169	3.4003402751338605	2.0137656337996273	-3.3487421798927124	-2.4147568167498727	-1.8675684483124044	1.8816904735018152	4.766932510103701	5.198646241124088	7.391055689463301	1.3653023392154715	5.286874516068464	0.7776151399325434	6.432817223883789	-0.563496194442428	-2.456788637567552	-4.701031829381902	4.88610450709851	-0.283445531953212	4.574574597366021	1.446354100194851	-4.201244283583995	-4.706906320418827	7.620090690159667	-0.16387190700129617	-4.882960134679729	4.259682362896714
1-bromo-1-chloro-2,2,2-trifluoroethane	-1.796729196318568	3.8583365129639535	8.85753856653504	2.1139514618189015	-0.26086651734908695	-4.660830372125175	-1.7004328210075605	0.8753872863029787	2.9597958444698445	-1.2612724438445946	6.64297793895522	-0.18385211022972317	-1.6778507004909515	4.1069480062509625	5.820836270628433	-2.4871016105649617	-0.2807813099411996	0.8475040042851625	-1.1484649203871409	-2.5588991200302074	-1.2103505589362318	0.23055499616826322	1.5682983755187105	-4.296640330270595	-2.7833302822431105	-1.945678605759271	3.447054777494951	0.06389387851506373
1-bromo-2-chloroethane	-2.7423697966808422	5.667627092415236	8.44851060975898	-1.6851129265339073	0.20683366319478838	-2.765149500601327	-3.3501325704857163	-1.025060442185962	-4.8070609977076435	4.073397129601401	4.644720335764838	1.5146874487335193	-3.3520240915390596	-1.7385225495358214	1.0494258387669104	2.4005509081144254	-1.3443988103370335	-1.929801270342481	3.9184767057351464	-0.7200843103567933	-2.87997809527736	0.11223121148878783	0.6104940209611113	2.439076088542835	-3.5683876387765676	-0.20224574577396862	-3.7519447717490984	-1.2050630794794306
1-Bromobutane	-3.1514310498527114	11.977372870894863	3.9795950410261898	0.03167442383072762	3.2448519933088407	7.062024895633076	-8.60271409575004	2.2177211613621104	2.8182867488435233	-0.8672731389831442	-0.9718629053969429	4.955957890221763	-6.081464111614878	0.9148319905841263	5.303658340833194	-0.18624841541128806	-2.116451045509654	-0.2104320492017963	1.3390114550987153	1.5432311162822885	2.7638347447298637	-0.14468360956743984	1.9902255174039536	-2.3942102797017117	-2.9148338314821305	-3.5653618783973684	-3.199463810589434	-4.7780202248460215
1-bromopentane	-2.3158379616024347	14.191848383934195	8.797994844327391	3.8034138524959085	3.889960524795488	5.645858492969336	-7.756965159068317	3.9400367941764523	-8.233670091964285	4.6856692306287435	-0.5086903041633201	-1.3664031458445762	-1.8019972204163224	-1.2369572922698797	-3.4425534111915255	6.552900562202472	2.6408683717343804	-2.919465138190283	1.9724449931975208	-2.3483377408496664	1.5007618200852741	-2.374679225660827	3.1223317480487855	-3.5840609690212637	-0.11355673731099787	4.236710383814537	1.3732847666265373	0.6207000982221179
1-bromopropane	-4.125998886652925	8.841131431586382	4.287398038933369	0.25771457684022303	-2.2283623274813964	4.940916846996871	-9.318947069424736	-0.3066992653856036	1.056789193468118	0.7004653833809972	-1.2259208909096226	4.853397369511874	-0.6397985704799262	-3.9209473801468375	-1.4205370296023319	-1.6052853613312505	1.509174616067619	-0.7869959020021974	2.259771984260224	-1.471019773494069	3.22758693292591	1.2353349225882175	-2.775214724749525	-2.2386602378016716	-3.8754845850486834	1.3413767566780999	-3.493570649765773	-4.508791737497074
1-butene	-4.32586752605193	3.7079249634138685	-0.42543397255093995	-4.247884267722626	-3.8286508654332083	1.5667549259178477	-2.0649633591355223	2.0956135304354158	-3.4529835352223057	-2.185454311358957	-1.2962177370003085	3.2412531640713342	0.5599812104155623	1.4101451834480412	2.397797382135437	0.021612488736949775	0.12348281070266835	-0.7773588400991265	1.495583133915955	1.6133106487662223	-4.625657957691199	2.156407238148861	0.5858428541811738	-3.8356795138300677	-1.3069130278760217	0.8805620118185191	-4.651293847469812	-0.2403193359220695
1-chloro-2,2,2-trifluoroethane	-3.032395500223736	5.619702427655772	9.816739640347539	2.2603643674363525	6.353466017920332	-2.2319184938124597	-6.285571997929437	3.7471298922307117	4.238095428681127	1.1679795735232197	-5.905442195247994	-3.342198164612822	-0.7055686376942796	0.1395834735598871	-3.015506603667811	3.3363439202246994	-4.927437678759872	1.845077688165414	-4.254917627086948	0.7290067246934998	1.7914889062578923	0.7705891376747281	-0.538191165940895	2.874154252996311	1.1348031423209448	-1.1148580927101803	-0.3210926728985862	-2.6211326618601274
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-1.6993348856531343	17.10047266896715	4.067907763442869	6.323346502408528	7.795884443947525	-10.684104045868517	-0.6713202089030439	-7.7134309129155065	3.851860096636723	-4.645397559567168	-3.57085215330241	-3.9330834213100023	0.5432585443855177	5.461572124577361	-1.7391931154407316	0.031122339398236356	-4.418817436971137	-2.1375668612386614	-4.852370562342329	-2.999042646483995	-0.738148197740576	6.3675978539040985	-4.372882860388431	-4.551045447698752	-0.8269257810855353	0.8083042494673247	-2.9272423470308637	2.5004966273405045
1-chloropentane	-1.9216908450393382	11.987037270230415	13.717603440248714	2.1478514115086607	0.7865092928438192	-0.5401948787117942	5.176011019817066	-3.1282707570846524	3.5455898314426526	6.726176570493853	-3.9358744165121182	-0.5375089191175428	-0.5831935390225744	-7.226481057876865	-1.0452188510549263	-7.51808687613008	-2.6905778143951453	0.8813377857461704	-5.424214009046324	1.0550393600190107	3.5630056208248266	-1.54728071601373	3.26526007760966	-0.15389201039598066	0.9045108630720206	2.37657377642171	0.4520038591266488	-2.24868512239052
1-chloropropane	-4.002600484620012	6.626841262992741	9.280237155190052	-1.6664157856712907	0.7176044738782463	3.6002757616192382	3.942495227939172	0.3482934479441251	1.3738000341528196	-1.8078448157672167	-1.821806586983035	-1.1259938501210094	-2.8791557655022553	0.5234104041551838	-1.0231291504645166	-0.7672291173089401	3.630990893610352	-2.5083773867979895	-2.5043426341248196	-0.6707655576770033	-0.32028241040955574	1.2855316735736393	4.368258557547638	-2.8084531300616957	1.4520250030592396	2.7359248737737603	-5.548721910867677	-0.5737228291279113
1-hexene	-2.9953714985748894	7.677139187184187	-4.477657877832666	-1.1611377571136754	-3.407669329021038	3.9468291820057875	1.5696111404904087	4.143164648200886	-3.6398023461745574	-1.0785690414340432	-2.75904257193923	8.17577088035084	0.9335737364699215	-2.227302483543613	-0.7403111533625618	0.48618270059854346	-2.3009017957348092	-1.6310118575284651	2.586414643163147	6.2250433930478675	-1.6762026392145468	-5.1365274418207205	-1.3500946799816758	2.9917428781515194	-2.2679013776120334	-0.43436995751103513	-1.989213811479517	-0.4139282857822394
1-hexyne	-2.0296038210448013	9.38223058874795	2.7143681559173984	-3.6981940427719033	-3.2339771886023634	2.438926238560367	0.03176920929921131	4.467338060758785	3.154501825896564	-3.11894644932809	-4.917762946425921	4.005135945490166	-5.676431368362851	0.18250499080097832	-1.3156153605018397	4.4165939002722	-0.836430946360542	-0.39944619299932005	-2.382179472217545	-0.6758246932349606	-3.1093320130235775	2.07604185634526	2.185860169543124	-0.2455579517670907	-1.8235960409123089	-3.3765463664147077	-2.0849990221221066	2.4295045638843455
1-methylthymine	1.4447874507687695	6.612280180211451	-9.356737897805706	-0.545842521607684	-6.97083466414661	-7.526912632786558	1.1290264436551043	-2.883332583964696	-8.774270175819533	0.5589219024189829	-6.33779417460131	-5.249691462742455	-4.173203241016879	6.184262597627175	-4.100276993109124	-5.422217597980703	5.051101010925983	-3.7714936205745855	-3.895478972464717	-0.344319742629368	7.705068380957132	-2.2390466290284956	0.311373632245194	2.057678466276366	3.9731354854017766	3.8438319165299157	-1.503234264836915	-2.218212342062813
