Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38
1,2-dichloroethene	-2.1076703594311343	-3.5014882227998	2.864006030902342	-7.339030970437423	5.734971417114583	-4.405385908629811	0.5525971864319873	1.4695929113592845	0.33206398275503474	0.45149530596750714	-0.648038077839409	-0.9756583571519055	1.0340242544093858	-2.812366224374404	-0.5225044120215585	1.4264394054806324	1.1784494786820225	2.660449648001006	5.01291071811259	-3.191276453904679	-0.6569225221772411	-0.5780881228660021	3.5102526484006638	-2.25114765950953	0.6942974636107192	-3.4100921211435034	0.7959721156520315	-0.43595977508957273	0.3798741856967642	-0.8603593492733821	-1.8852455920143802	0.8455474366295164	-3.8875039781365612	1.0318506102166873	-0.10864145279874708	-2.1217109805889343	-1.3230823411539692	-0.8654447868704004
1,2-ethanediamine	-1.7503182668574642	-5.150664299102936	2.553230996768674	1.5670849882139786	0.9148421776964136	-1.798612121330114	-3.366856596466985	5.633370322448603	-1.46831811995188	-0.12825991802098333	-2.172140619490465	-6.784426965467776	1.0524859443625332	-0.5412053863632119	1.8295484911148825	-3.667038150416654	3.4367134575962717	2.4495564455462686	2.4029182546900154	1.7649257322042313	2.6421439155208915	-1.2992765821636354	-0.4107269654205571	0.5562983811854761	-3.60241006830861	-0.9436678773305336	-1.852129658702857	-1.9675609566847263	-3.2644315247915463	-2.960243757640107	-3.084160554519124	-0.12874988566895246	0.9401103423879806	-2.6279514307296776	-2.7363721589669767	-0.4324859274469182	-8.0470732707999	1.5352651568067424
1,3-Butadiene	-1.2845268241007217	-4.623325587992584	1.9912691560874418	-3.553166968025129	0.324233380312428	-4.081866645997205	-5.1578099545814835	4.104724032809042	2.4360784648406613	-5.994543910526773	0.03731757290557529	-4.462225627520994	2.8148134842654993	1.1847197214387717	2.4172091889668517	0.1482791282218529	-0.8320708364455636	-0.07413837254776612	-0.2906948088991964	-5.5038214535360055	1.3353063911845906	-1.9378049674115712	-1.252735016360065	-3.1181686199650915	-5.845047179969101	3.838671911803652	0.3587686162858901	1.4130191776134442	-0.08489517241643105	1.5647879412130707	-0.763416208483396	-3.7416652884669532	1.9522423204913255	-2.635520502754243	-2.7529916831185783	-0.4452335777280584	3.263126749180999	-3.07891007348535
1,4-dichlorobenzene	-1.4853151672007765	0.025916119800290464	0.28952504801428586	-6.362479657959488	2.8948605780170644	-6.500356524966288	3.0518182086984367	-2.4113105085339432	3.2796774534841933	6.689741051322423	-3.175801494416877	7.733487295638885	-1.4503513279899964	1.4550804641629933	3.1703948353317677	-5.041019677808634	7.2868056881606345	-2.0324751073828886	8.78909584945196	4.120793724191684	2.6635416854929583	-3.609882517578617	4.704369761997395	6.429926764402042	-0.5886669668395059	-7.197134222236174	3.4090924313270055	0.4138556397364602	7.748569444010032	-0.39801796478952095	-0.15412896248228422	-2.9070336388601286	2.7747753443588525	1.1519782084732695	-1.135337897180945	-4.424511970852884	-0.9724178767112248	-3.5734493582637183
1,4-dioxane	-1.09726356562055	-3.5169517446623457	-2.347301027186136	-0.3243503046086864	5.157716707963502	3.1061201542027765	-1.805560482714936	1.5968899426799008	-4.6120729281793515	10.414527067535056	-10.49078509950473	13.609166722756918	-1.3701461501089636	0.7173522689572462	0.34918077261465635	-2.3499200399487377	8.63918276534722	-0.10318076226369395	-2.0491280141685344	-9.46668077874909	0.9129114507394457	4.0116349263794815	2.1761316181669432	3.663348915062264	-3.1170272528241787	1.006619223019943	0.501440478782899	2.3307578593873157	-3.2927457962299695	2.836223264421932	0.22758757821195266	4.880081581486538	-1.9415186835893072	0.8552052317252772	6.358389223417338	0.1958208796679164	-0.5051890575408439	-1.827324267516345
1-2-3-hexanetriol	-2.557180444364796	7.695706023048592	-3.159987400758945	-8.559691263506814	-6.413410765036769	4.3630536124536885	7.137098211294559	-0.3491399959379971	-1.9929132597051284	6.476871048599315	2.823247503295056	5.211123316779273	-1.5316482772832587	3.366120155300826	-2.5257117909804156	-0.7940998448285592	3.3561995752442244	-0.7592787389124178	-1.8668622917202822	-6.458056597682839	0.668573065301501	7.195863762632842	-0.8724850634824656	-5.88784791349743	9.287909244158708	4.168207652951205	0.061601505830537556	2.8961576885219698	-1.4833639954698432	5.687927174437156	0.0599328163003997	-1.137871681668631	-4.536892726151745	3.356053272088149	-3.679626290640115	-0.1736958042167213	-1.6155660021444753	-5.972700507993519
1-2-Benzenediol	1.3305390438988474	7.1291133185163424	-6.932031464467461	6.105939718030065	4.432088780634106	-3.2122021799561953	2.5511348405651275	4.550898100392379	-9.376360400388043	1.170784822854343	-8.333968556164658	-8.73645019497848	0.5217523005895305	-4.811859874774743	15.713852714103307	4.453354553841673	9.215124115885049	4.365762156004211	-0.98929674580382	1.315945202753646	4.806164566312317	5.0514587054757865	7.0940948752854815	-6.134675046081639	0.13398235657522975	-6.570345669863703	-1.7270703367919087	-3.0379686081579758	2.665773414352139	3.9222526384608285	-3.2376551553465567	-0.050915431062952966	0.41190699740373743	-0.7492849774444053	-1.4097467248912374	-4.335800152593218	9.17087474097701	-3.9148564151712355
1-2-butanediol	-1.340615750593776	-2.1344983798279276	-0.4040966974702489	1.0727479515032474	-3.6201026410320605	4.831052557621462	5.170467720779526	-5.66873028573519	-5.220497202884562	2.3370831637010125	-1.0310804017461541	-4.848604740268101	2.6433628448835425	0.3732076978571429	-5.570235176370924	1.8026395813641587	4.981235656116406	1.712343179079067	-4.760116600990841	0.931331810424396	1.7609663562128817	0.5769418257083451	2.9514383366595474	9.098241875914152	1.1507215092212937	3.530532591056242	-2.5135007436883576	3.725006552712646	-2.2719754374692243	-2.446052760425981	2.687903957152465	-1.902832077279465	-3.5664262675787466	-2.7820928690740887	1.677847291644363	3.567458733852615	0.8262170431435257	1.982589065968894
1-2-Dimethoxyethane	-2.4787417684339057	0.7366638245050785	-1.2527605864459779	-0.2425475612374369	3.484838327849922	-1.6593069365113424	-1.616855976472539	-5.785141486906633	0.7028496992210519	-0.24599311090664416	-0.01962406845210004	7.415418025665894	-6.723192004352751	1.4048630347666446	5.763536178547243	9.308738878463354	-6.566089170671478	8.365366771775536	-2.542694166175762	6.802491793081559	-2.531670856620105	-5.04670519046982	1.8083620521019867	0.5842185846164885	-1.9680184796822506	-1.2255350337343491	-2.5362782538190403	8.614901062988148	-1.3414334552760865	0.628369932570213	-1.4506162589747869	0.5450216382655213	-1.3509331857895728	3.495041208712967	-1.5469273649001531	1.9154418717492756	-4.8659361502062906	-4.110955826121003
1-2-ethanediol	-2.130612790616654	-3.611020258883258	2.7531788593905113	-4.7061114980710315	0.7832950708905804	-5.5426508973474204	1.171249091420768	-1.0989894140957552	-0.11344743714860994	4.633428836896708	-1.710297122494599	-1.7906627328675466	-0.9140193786339725	-7.152668692154116	-0.27075806585364565	1.2343466029942158	-0.24539528579474665	2.228513523740483	2.580125975035724	6.850667411173799	-1.71681157167577	-1.5265811926286865	3.9966786523562274	1.1188135475095944	-1.936145249793369	2.7986132389808263	-5.42140720752537	-0.8424730047710021	-3.6728813732335523	2.5684234701977817	-2.361194316752649	-1.2841089936718815	-2.347128791350137	-2.8592280560772876	1.0096086957485484	-3.4214220338651216	-2.692478076575976	-0.2709026640304381
