Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
1-4-Benzenediol	-1.5393699114050705	2.928328991213664	-3.2110699131807725	-12.553485792033939	7.376992344047848	-0.8566527790488786	6.79373321536865	-4.272311465724021	-4.405681780074518	-2.526398530353047	-2.6540940253484973	5.484218302300056	-0.9009596635212511	-3.9390499879381653	-0.8460845793978343
1-4-butanediol	-4.396992828145348	4.421580163880658	2.182148896206757	1.1259639372077048	3.8341291642176176	2.6261155114454535	-6.385742031955035	-5.712589700202393	0.7066614904772526	3.100295374765033	-0.7522850899288052	1.1234800341361455	1.9042127287209936	1.4264247946228437	-2.9510408526475786
1-bromo-1,2,2,2-tetrafluoroethane	-2.9396810666409636	-0.04995169345609069	0.9284110924067552	5.484955002833171	-5.105028163432235	-2.452561027747354	10.692896213170378	-0.6338123637293767	-4.731875498338136	3.8969227668940367	-5.577713642855118	3.90967278755311	2.717883536336361	-3.9027043315252086	11.185298176138293
1-bromo-1-chloro-2,2,2-trifluoroethane	-1.7057860306790937	-4.4742060137042285	-8.984261691929628	4.050874997804823	-1.0346600425776706	1.7262167643816606	7.2348492277683345	9.097089055694038	-0.40857453188698983	1.7274852528415632	5.617720338220355	6.2870416719196385	-2.597414249537439	-3.75395544208173	-0.15214775510497097
1-bromo-2-chloroethane	-4.652544372140294	-5.514146292378885	-3.893107245764616	1.7240186470920982	0.6763228117397502	4.067542296606395	1.2302094143340885	0.9615881258690607	-3.5926120988854446	-1.5039930075160337	4.74514191600803	-2.2511056172685997	7.023044699190532	-0.1034093064076977	1.157985707383455
1-Bromobutane	-3.7523385272877854	3.379149714182034	0.9812832378943094	2.951196698003092	3.60694089974425	-7.853434781939145	-4.008522739413385	7.502199095215064	2.1842062157880533	3.980729099988944	6.285457493488456	2.9292663646444175	4.122986009895713	2.0197325290184223	-1.362752737246835
1-bromopentane	-3.710795833404179	8.904104646609888	0.9112706507909583	-5.03136025004958	6.604591229338628	10.8033410858645	-6.667255925185565	2.5863177796764054	-2.5232337327049894	3.3795951035231315	1.203861653769118	-2.7521353533590083	1.456298210915615	-2.7195992075485944	0.23501124103625945
1-bromopropane	-5.453251799835534	1.16407508669567	-0.7996704261390457	1.488336596233554	1.67419667449441	-2.868248067730591	-7.0061342463484975	-0.8464615805501903	-4.520739732353982	2.7052670895529785	3.8114857166868155	0.25180310726885197	3.976984748513898	1.0325401347518366	-4.595959914422187
1-butene	-5.547610311657007	-4.39031498406765	5.285306883124749	-0.20062421577722372	-2.929972349470329	-4.4258679305182245	1.5925256181101406	3.0070853342218773	-6.80135866645308	-4.763849867974912	0.1596841271006493	-2.7229569698781844	1.0414274740301908	-1.6777184232701774	-2.0577853791328113
1-chloro-2,2,2-trifluoroethane	-2.8446522480040413	5.119894817461383	-12.107461207715302	-3.53442326355074	2.6880843506281753	-4.210615325349749	-4.645812449628493	-0.6072972205790355	5.577923089968412	6.5539257513097375	-0.15935104953112195	-7.1186288933191335	1.6570511920149855	7.601417732454898	2.5754923941721524
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	0.17057594342552154	8.675695277210611	-14.01632705760775	2.4150630479265907	-11.62262128097553	-4.159918065324754	-3.24372172256843	0.9374480849233024	-0.07842896298677084	-0.8384286955602921	-5.97256401388349	-2.374802656341649	-2.7993283254409302	-0.8741784195941392	-2.6981904372346865
1-chloropentane	-1.653850496742141	3.0220857044765306	-4.196243287412831	3.7317405880026597	4.378765051956415	-0.441461220065623	-5.4555084713460795	-9.873696815878205	1.5472132307958018	-2.4890441257325437	5.511301101523758	-3.286060234135236	-7.925271123058065	3.5236234812961826	2.785940420388732
1-chloropropane	-4.89325586053337	0.14187345696903045	4.605256214894771	5.86249819879921	4.694420802774213	-0.20998781847278503	-4.867141983366033	2.4150516100394466	-2.170763344462343	-1.1877713255861657	-1.9029211299495874	-5.528108366577917	-1.8027167465751601	1.4859599521066351	0.7307139236209325
1-hexene	-4.249713638695301	2.7311271878122776	8.835285204579924	-2.177311847370185	3.6813372062730907	-6.086416096727815	3.8787905091180703	-6.863740856250046	6.3672814574353565	-3.2726372674977053	2.1924596898147266	-0.2189007117515233	7.473731362228584	1.8406489246372812	-4.041025425904188
1-hexyne	-3.8431711802563076	-0.9842219130259263	2.8432922510423646	3.600904403310308	5.191564416850735	-8.453437752906721	-4.097505203556034	3.2540853029614563	5.807440512457215	-3.108555655920957	-3.876184941568174	-0.8904665997968555	2.4929312902654996	-0.3082199431591102	-0.6327940047382783
