Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
bare_surface	221.39166457988813	1.0003386674221895	1.6691081124848648	0.7063544491058413	-0.8541704245377029	-0.9946429542971971	-1.273924643217434	-0.1947319414138683	-0.3584743717280677	-0.2144543824059942	0.3993479015658185
Benzaldehyde	-1.1925424476828852	1.2094995291951802	-4.546487096686304	-8.89249441825076	-2.0209093576616475	2.8939231625232624	-6.879888147615651	-0.02120936534140887	-1.831050726147241	-3.6892650389304578	-5.154287961505054
Betaine	-2.512630320109428	-12.707845931412445	-1.4400439527188953	5.406058533974718	-1.8606274125232045	5.484700646509157	2.449490591077564	-4.721011550172581	-1.1713232690373696	-2.5319749416496866	-7.9421381167410265
Butanoic_acid	-3.0599538736510303	-9.425555788902434	0.17981224510733512	4.059158612080973	1.726882646996718	-2.4938484162428383	0.18218416094552237	-7.14648038255427	1.6674451011871796	0.7838276300615232	-0.24318168012100233
butanol	-4.797571233092373	4.860459979843959	-1.7369501281381716	2.4112506695730787	-3.628456850528031	-3.5653666639742325	-4.29852661994584	1.7664265436704767	0.8134571334910449	-2.1997266138236644	0.8397640786844199
cyclohexanol	-4.016383561832956	6.36097788486096	-5.100746872523236	5.03392696411635	-4.700988881209735	-1.702577732106365	1.835813892583494	-2.912948972821932	-2.750887688160699	-3.271313373059594	-5.111701149159397
D-Glucose	1.480154255187554	-7.451986025172809	0.46482826196883026	-0.7249635969067169	4.698814657326304	2.021090843890985	2.997498794045668	-1.363789603028962	2.58796043106257	-4.791183662894389	-4.417803539242596
Dimethyl_glutarate	-0.2670065248425399	13.992190694811924	-4.554230411976489	-1.9470549784248754	15.250330441847398	2.0744323351145044	-2.599763209551998	-11.270756071002072	0.28031985764108774	-2.890304349285739	-0.7067092519995022
ethanol	-5.606039729854139	-0.2715970166126723	4.552239082306243	1.4738921833184127	-3.3974542941854695	-1.071269870017151	-5.020862978060173	-1.362664318643016	-1.6177614970083796	-4.018688357560528	-0.7047040060323424
Etidronic_Acid	-0.8797779013230146	-9.696948026505668	-0.3691489774555152	3.490087360591594	0.7664657062872345	-5.897302283152453	8.547931782352101	7.281203317491995	-3.893230099562627	-3.4914082438902354	1.8691935103498198
fluoroethylene_carbonate	-2.1995711275796266	6.478358514478756	8.115382872561169	-0.326117505594948	-3.0068369487331843	1.305452761287484	4.407635501505881	2.1586623740946416	-3.107846013876774	2.837076077093298	2.1741395229534834
Glycine	-3.815508548443939	-9.689012361276985	-0.17808643976655772	-2.3827001865094855	-1.9619849414902817	1.4231556371511902	-1.885731510724658	-3.885736598765255	3.3639217993787023	-1.657130302942869	3.661251006362427
Heptanoic_acid	-1.459598399235062	-9.104680359484924	-2.057934302403027	8.746121678858126	4.6742815354834475	-7.611867372415285	9.298533922190051	-4.293119226377289	-0.48986200951165393	-3.626733299161708	-4.201025176260539
heptanol	-2.1998020079780107	11.25066952891014	-5.037594854413495	6.9495974157624	-0.8624747115595602	-3.2633508095121773	-0.39676344050873946	-2.0424764193130116	3.75029642068164	6.054715555397886	0.0022203151441101787
Hexanoic_acid	-1.1156581090459547	-6.829075730579336	-0.2656937739641308	4.142020053580094	8.486043384579327	-5.082111021253323	2.717553755103811	-7.006124049299669	-5.8257429225791855	4.457912458135383	-2.3744909915712324
hexanol	-3.1003862656041976	8.699649791106596	-5.8527810674047815	5.180233637411766	0.4783641569335908	-3.764481995931	-0.9786055352004023	2.5796913103341246	-2.2917739158238994	2.519665035201368	2.213067416565018
Inositol	-0.7107190746045313	-6.677544186790092	-2.2999532793628985	1.1647101770230324	12.697049004267667	3.0267448104496957	1.6204577232332402	-0.9716414309920097	8.816062222866282	6.352362419402582	-3.9093991602763083
Methanol	-6.523854959201177	-9.744154538858774	2.7907196042440057	0.8559156036647121	-0.3752581599632479	-1.995469765686464	-5.80765160308049	0.9955696992407231	0.2818880243746438	0.4208875652531214	0.8560341715240071
Methylpyrrolidone	-3.096203569442134	-10.798693514352319	2.2711048575804003	-3.81840162341486	1.6510831918448439	1.5576822729964461	-1.706032740720281	0.8477767840535767	-0.16501484650645076	2.332282592154552	-0.29764752701043196
N,N-Dimethylacetamide	-3.349329537750487	-10.33200333619146	3.6201062583052632	-1.561974552326095	4.205871550358615	-0.5315755894267118	-7.376360582087383	6.988419800500042	3.1645385639507784	-4.978521398029849	-0.5810600013832555
octanol	-1.9494467177446009	11.77858083832213	-8.70697848449677	5.305863063601075	-4.664501722823368	-2.4691684983689064	2.207087506916967	5.826254424766195	2.7581347589002956	7.877206118390404	-5.907788065962821
Pentanoic_acid	-3.6787041484694245	-9.180661440919652	-2.7785763534949757	7.91612272348201	1.8656089523116357	-7.506405476053039	4.521838763451162	-1.107592287395215	-0.1687714675080342	1.9129667729475275	-0.7496754971753382
pentanol	-4.080981557720034	6.52838631787686	-4.2631507833441455	6.280859869599309	-1.5316807671195856	0.34504361201266276	-2.13107481950083	3.06228928596245	-1.8634378864890233	2.4384720594660174	-1.501185857640436
Perfluorooctanoic_acid	1.2071796191634143	-13.700516498152876	-9.901040946260624	13.153123073285567	-16.2389747217709	18.386098755715594	-3.436895283863896	-10.857323949545387	2.10119446231357	-0.019121159889691486	4.704413531511241
propanol	-5.92571557876844	1.8094659777956361	1.5906371464442817	1.9610242206076833	-1.5201571411164405	-3.351602013103157	1.2717564830539576	-2.148958216274593	-1.3996172767857922	-3.621043342618214	4.949046151710644
Sorbitol	0.6782544761205924	10.570446944276169	-10.029472243176546	-8.69863745278677	2.7883335190467027	2.831288722893131	4.517805741381896	-0.5169081419959695	-3.260199198404978	-2.7069197036008377	-5.244823899663281
Tetrahydrofuran	-3.629273902361587	1.9999076019950293	-4.018763037623748	-5.620240361637676	-3.7283683519903716	0.9506127977498072	-3.4080522711291086	-5.028853895507334	-3.015762764669984	-4.767478302856852	2.1323870705465575
Tetramethylurea	-2.691229228958013	-10.825511059441316	0.2781167419586514	-2.8894015307552547	3.795395619679558	1.8498462137086027	-4.683212450147503	8.342195259897531	3.5839554037816503	4.36364272966105	-1.7291277457853629
Threonine	-1.73527994711477	-10.68080567203464	0.02890667621763679	0.31703573305570215	0.550375534533196	-3.2106994448196913	3.8118671834470272	3.3084649796369803	-0.2831570339074832	-2.729218211989829	7.111347560781944
Triethanolamine	-1.1830562778317115	-10.772826033325495	0.2950251744022058	4.690303116855247	7.3377881734132515	2.7695598242258788	0.12880245649029476	2.9059103192944216	-7.415950262222011	-1.4755722044119859	-3.9234280238624106
