Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36
1,2-dichloroethene	-2.351806408189131	-4.765599737079719	-1.3128177400958019	-1.2163945728038572	-0.8579527522167892	3.8544242879081976	0.4780572333855147	-0.00836591562561372	-2.159614017203288	-0.6804737033840045	2.969238625111913	-7.678862688100431	-2.013162872147732	-0.15492388173922067	-3.6604241081237348	1.3190059112208468	-0.5051959239114185	-0.09064873902739543	0.5423084279178485	-0.9165878915801939	0.5536848164116648	0.3925522418906548	2.829128581340998	-2.391460899262408	1.027537565717443	-4.252626829451647	1.1427988304274481	0.1824991546030783	-0.04772048492022375	2.8389595282574196	-3.105183929824318	-0.9439158411993078	-2.878560055183697	2.2874602222718923	-0.7995635980417181	-1.9496101495908695
1,2-ethanediamine	-3.629860075859239	-5.89084784553439	-3.366353424582382	0.5589193555284723	1.9757837979050208	-1.311385328073161	1.0217928552898305	-0.15875050021244463	0.2682971003137097	-0.6612299526583724	0.48558135898398685	0.5600264291824507	-0.42761407462022744	3.1646768604760953	1.3605901786436618	0.025668399988265027	-1.35522249413625	-2.864878013969844	-0.2481882528505265	0.6517067491819033	-0.942790379081396	0.8219277183659204	1.1853940201378934	2.2642826993648475	0.7439700089329607	0.9111322557333732	1.4764856580095989	3.3478691118226718	-0.5094763281026637	-1.1088635155554123	-0.2911259403670197	-3.5322968965499797	1.5882301339758886	-1.0326734975274425	3.46956133151598	-3.3783246981874506
1,3-Butadiene	-3.076150947714845	-5.979273616637317	-2.1592396727725256	0.7950685429580308	-0.5881940027548201	-0.1511405774401355	4.187892266327835	-0.18554541516371975	-0.3831774034453295	-2.5646213013067376	2.223374964127965	0.16717478036109773	-5.470420161977194	7.450641632407579	2.428463288736052	0.9129746976280395	1.7768815529973176	-0.42250958040832115	-0.7783067526623824	-3.161458643325705	-5.649249148498847	-0.6268990084883208	2.012591150410597	-2.2875203545473766	-2.2327210801058452	-2.1802834745707784	3.8685359763757714	0.1385458135675207	0.790296910050673	-0.6840139295535779	0.39764263063306077	0.1091495051215377	-0.37969999414347005	-0.2286992393575351	0.4589940079435486	1.5131656642606428
1,4-dichlorobenzene	-0.6135814800460105	-4.4843011942372035	2.0681915907854265	-2.380400376680998	-0.014279123003122141	2.08159722184861	1.826174276171861	3.3022722322079927	-0.6445569724691997	2.2886190257927317	-10.694075124201074	1.2916833779432793	5.535914045419267	-4.361160551562066	-7.761687399384697	3.2978924701675023	1.5280930192059397	2.7874263853212327	-0.13382962558981823	-2.4197227167975295	-5.3017483031462715	2.1605020835428994	1.7393396337710052	-0.9713427957082938	5.9005672006728345	-5.384662924183719	-5.506709186409994	-0.011159003903325204	3.3947734445334636	2.9274977359190753	-2.306302505188536	0.543790575226219	-0.5572882841678688	1.0526194621615688	0.7839420553636448	0.6270842788303795
1,4-dioxane	-2.518359678158215	-5.056788640836343	-0.6805157713137492	-1.1839442219889276	0.29287003654349086	2.328487387510411	-2.5591771764436895	1.2908445949067364	4.772340603639859	6.846732524016237	-1.0143620649151874	-0.7120608365573643	2.758102940772577	-2.337581664293019	-2.9055266946495983	3.5759636588344303	-3.0065509388422798	5.564825536646166	-5.903011318605328	-1.3253872152836705	-2.4602996608692926	-0.6677861238252185	-2.7908798095045664	-2.5840825296710865	4.848997812345663	-4.583701864730176	-2.5367365390645156	0.8903741614346586	-1.0930714155856813	-3.003208868531485	3.022340662189605	-1.045998646853448	-0.016189567732156195	-0.041429891642740364	0.3061346666838084	-4.1206010045857004
1-2-3-hexanetriol	2.128320943357471	24.21394189264185	7.121151133144635	-9.237198305862243	-1.399082411224698	-0.7185621974691297	-1.1511745378093508	4.794032134271188	1.5948018263401087	-4.083406558606529	1.3273832888483035	-5.411572673962745	2.5987041379910347	1.005414412565964	1.7260883265358435	-1.9259561015403759	-0.03974534663170058	5.634471116926738	-0.4163376636130837	1.7314492006763527	-0.6512930807982028	-3.3353169470473762	-1.872386773688419	-0.6390009957002262	-1.2006473304114695	-4.528531950252839	3.780691584177402	-3.9965917934665938	-0.9712596880823838	-1.071876046924915	0.8466822056542418	-1.3900426408394835	1.3371913106400568	-0.51755632666322	2.2186330204281544	2.4962099391179247
1-2-Benzenediol	0.9436032141383682	-4.746656936440711	7.093996685766776	-0.8864273668244366	-7.118630936480541	1.0503812735124871	-2.0127406768698557	2.149795097505521	-0.6926138063659959	-1.7841753854224571	-2.221026581734132	3.655950317963154	-6.303301535502379	3.3543821389793997	-8.536529988010338	5.475026161691412	-3.653063278119386	-2.1317352982781648	-2.210227759275377	0.07689254296557417	-0.1702683636964322	-1.4926757991864241	5.4495464091432755	4.398778560383397	-3.800333873687353	-0.17162931073702273	1.5269618152009687	-1.311012572753155	-2.72692423974348	2.7329417380972845	-0.9044492142237878	4.619095444197588	3.343865439313614	-2.6001195746179664	2.9327795361132316	-0.7262076500528003
1-2-butanediol	-0.8672142459911275	19.43842707875195	-0.9982479787576134	-3.6790958160055545	-2.134935361801542	-2.6603704384545	-0.0653430771043461	0.3858373856705382	6.636276266562755	4.0604630058196	0.5372231267851305	-0.09201869543031255	1.4560265209143288	-2.144398504146626	6.408675536947277	-0.7281715644788307	1.3901643105169936	0.6710629230047596	-2.6986673765034643	3.351201796918917	2.219842780958208	0.9538018662848659	3.116627697036509	0.4790113980372839	-2.377969423164185	1.5498191602190452	0.4740298177610054	-2.708848202864941	0.5417690484186682	3.2277726842756036	-1.5058618639035657	-0.4916406026117499	-0.03536683175511033	-2.837443254294292	-0.6486460172261643	-2.241471793535043
1-2-Dimethoxyethane	-0.6264903005255937	16.16658154563589	0.2310083600315401	-10.82761916415753	0.3606103921370294	-5.505190952577314	-2.0470443596710903	-2.4529230277083522	0.4715582609579288	-2.002559309463195	-0.7184932804073382	1.098661681716233	3.2101588072636953	-1.2024802327700288	-2.748990249943071	5.513293137936621	3.5530826956638393	-6.81290375662528	0.8647927493480889	-10.44784164710288	5.958113152430678	2.0759175898578315	0.5042030475890901	0.7516201430281856	-2.0298382640113886	-1.21478200446151	3.2556926277557445	-1.5145614316619784	1.8961918684133598	-0.2722850347320703	-0.4826714504148018	4.548478456707762	0.31188764022590776	-0.07711603494623322	-2.411641790462447	-2.27456550113743
1-2-ethanediol	-3.1907370039543608	12.406828535137194	-4.677129368423833	-0.3158208164539258	-1.864568288823354	3.011550323982624	1.2016486974752425	-1.283268912704558	0.888097609492437	0.16200882132334443	0.7656202276100084	-0.890709082044596	4.691168875313075	-3.7323191100571913	0.9908929929844744	6.118378345093875	6.276240021173707	-3.050356812593488	-3.4213010631329936	-0.4622889607406548	-3.453554369095858	2.1164269461632434	1.5948765166027914	1.8794645689027831	-3.9843034870857457	-2.1940975991238783	0.07815335984130503	2.1125749315391067	-2.7528173964522504	-2.8209476095642674	-1.6681342944928468	2.4144054044843335	2.024928803090297	-1.5386611151407457	0.35520780637232585	0.3109151874715357
