Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32
1-2-octanediol	-5.835773047353826	7.824706710244703	-7.574662660376457	-8.649256791941218	3.9275984541165223	9.402529239348763	-4.113460155080057	-6.139839417341536	2.594819412767606	-0.5455050734474132	-3.756443244140033	-1.632381348460696	1.86466256678636	-1.1194398721800614	-1.2786788224267498	3.82764034791071	3.930228322557147	5.571776948554521	-2.7437014179203714	5.478902966007503	2.3788363753696014	-2.3474682365513933	1.3401845967821386	0.8945700283959607	0.5680575338115843	-0.19529432752813258	2.54872904752399	-0.7303841521600974	-5.127144250705965	1.577198142639507	-3.2544837312688992	0.02380574837775104
1-2-pentanediol	-3.669475538260623	2.1818915211269627	-6.644589133427014	-2.643766422312205	3.3961818312888696	4.595020951738372	1.576079045139011	2.3266928931933015	-4.872503516326468	3.5070080258168814	0.92738374305914	0.31991783002648505	-0.5448277962099541	2.9722256565507377	1.7919592733708527	1.4507227233368274	-4.119881828710138	3.4253546168921254	-1.2386529928268875	2.013621219448952	3.884530549193896	6.547366969012921	-0.6512450680880375	2.406876337346317	-5.381391354197913	0.461644992890708	2.9215260605597657	-2.478649357804945	0.6647053084746077	1.2753027435112434	0.7406243085726659	4.5838722905200795
1-2-propanediol	-1.8090833830507764	0.483312956679891	-4.494746430228965	-0.36877910917604934	-2.3853219576609273	1.981501609365218	-1.6142550827085258	1.6911662424193166	1.318327030604536	-2.83304980112744	2.1383006095254826	1.724130023345497	-1.2546749262268926	3.3457338765079174	3.936111951436013	-2.245488040424673	-0.4726215484653102	1.287877661137978	-5.231519850371979	-3.926031630366742	-0.7536102173856646	5.2499863742031305	-0.744943638889118	8.247344326436417	-4.96507300711465	1.2312318694382853	1.4416533385269217	-0.6969628348850617	-3.5419181962241297	-0.04269804583122115	-0.7678374142309435	-3.8364026309182404
1-3-butanediol	-1.8620773610944579	-0.3977332122432386	-0.544992187772875	-2.937082559901684	0.992344884614917	-1.080904854681193	-1.4714461927411624	0.8510411591540694	0.17846160152620316	-5.864123287072427	-6.513576573908404	-0.6046264329469393	-1.5377272347394577	-0.09273121488267463	-4.909849268757341	-8.174409894545887	4.539629623932792	-0.6176153016823099	-4.336116321286918	0.829114649090961	-1.264742515494241	-3.279824201592473	-0.5747046434946171	-3.0479745325197665	2.8463165694870622	1.4895876893324536	0.5145568616419166	-1.588235377611796	1.3890407020435702	2.604816253752847	-2.4945058762400167	-0.579108149993762
1-4-Benzenediol	-4.399570381235944	-1.1330835755386792	17.335286394163965	-6.891029489052734	-0.9279697134407061	2.975115625920925	-7.848327009906203	-11.837260664469309	-3.449374979313412	8.799048098231777	-3.7474427210663492	1.5645088525473545	-6.98837844474864	3.8379376513673282	7.262796252371482	-8.428884204135054	-11.813433650399615	1.8693772287250114	3.7610416691080393	-6.914562378429507	-7.532014835483821	-3.9803132177269753	3.685960331681656	6.265946216560258	0.27776268803789284	-4.909331510295533	5.643873821208703	-2.03649765145064	2.2517376064795442	1.4560380273755495	-2.739212141835148	-2.361159935069387
1-4-butanediol	-2.341252036825967	1.229763841109015	-5.852805959362551	-5.1409427724498755	0.6511959598103659	2.502607495796723	-4.744754165595614	-3.3810312016551975	-1.5680834986700336	-2.152512521865043	7.119156265603162	0.6886413055445775	-3.661565435734529	0.9186691661245057	-3.3730471589092437	-1.4049639622462406	2.75846036051053	3.6871193640953264	0.1746606265316088	-3.988749151673227	-0.3183591940877275	3.3654300056343533	-1.1408870365755401	5.238819949172209	-0.7232833767106288	-0.3492346755127269	-0.7027183770764086	0.378574800295057	-2.099334314997166	-0.8234673660729476	-2.6668040071605987	0.5500192603436797
1-bromo-1,2,2,2-tetrafluoroethane	-3.0917608412862827	0.41123829816931384	-3.9233131428101884	-2.093121055924392	2.7955672357107284	0.3194535688533442	2.6092280010037623	0.659126218469025	2.052356015645249	0.6454765642961057	-9.692365033958524	4.004038390752512	2.98981577501835	6.949358207813936	-0.7079442335863501	-6.048642991763028	-7.381237406978426	7.780976196599014	-3.218684304163713	8.508968919901227	4.309011974111314	1.150172318561222	-0.1497910538915534	3.0406841114071677	1.4146856454034147	-0.9457795336808987	-3.441642364906199	3.021372522835623	1.9903586349022382	-2.1725608637325338	-2.6184334654874277	-3.3844766987565875
1-bromo-1-chloro-2,2,2-trifluoroethane	-4.240779327615156	-2.0641037452659345	2.379186414086179	0.30352885827013987	3.329028774003789	3.74456413662087	6.314084557353381	12.116510888399356	-0.6502452230503584	-8.25771028038972	-11.09047042332159	3.1146735571478845	-1.4987451763732682	2.2969399904415257	6.015773155168806	-4.709149418558604	-3.4394285221297003	-0.2592211731274925	-6.2633213236437975	-0.3779521142818898	-2.414659145964597	-3.8002098685138046	-2.627050317978562	-4.117517604365026	1.2943981373613451	-2.327653186954897	1.832967071006315	-0.8452945222966155	3.2225477847729387	-4.079829331077153	2.1979212408973003	2.4893471299716197
1-bromo-2-chloroethane	-1.0605988476881583	-3.0523223416050715	-2.396327546137388	2.0034471569279813	-5.534344354968151	-1.2991899868578327	1.7539680206375654	8.21864098960581	-3.7353018064629455	-3.414819917640691	1.1540874658217508	4.2457220076926365	3.8612759417635076	2.437344632572666	-5.576020014297578	-1.3072186955895893	-3.494030872996366	-0.08985286076598657	3.066828698728182	-0.09320352035776543	-3.1455866238201473	-4.942238798147288	-2.75956802109561	-5.699422761197452	2.943381327033687	1.3978325096938071	-0.33944759386951123	-0.563007469586073	-2.183669119938702	3.468253386144947	-0.948270314941791	0.8615916273888472
1-Bromobutane	-2.9858135932729994	1.2819534393677143	-4.069168955941231	-6.0836984930178595	0.5285414384922911	1.3674759341067342	1.5367671158277756	-2.2994662966828816	-1.4280381822738797	-4.900368060345073	-1.0368493501032254	2.9680063324604227	5.720542125034178	0.7576418383703517	3.002738661732217	2.560193765700527	2.5620806332775836	-4.638438136586291	-2.36526777669013	1.6387097487599973	-3.3354126866009257	-4.730110219417573	-1.9689360205018174	3.8347128622086086	-3.1453341335532645	0.5631709124374998	3.6804434874100194	-1.207513136119328	-4.039603469462471	-5.860390041907781	2.1484661885703114	-5.7928481377802505
1-bromopentane	-3.7278753726320057	1.358670740412695	-4.642718994364248	-6.925534767431284	1.9638516251900362	4.892186221894293	-4.177343997799024	-1.031741475342353	-9.103900204854455	-0.12729699599689778	7.323192527435491	9.878022742973343	-4.8713003282155904	2.13113649460021	1.7922907731912314	3.350885838331826	5.525032486925236	-5.232904990289401	5.635861717385608	-2.5628044788420117	0.4536237222733738	2.148230515051524	-6.307209787159641	2.839322668293845	3.0698737935296623	-1.6138179767689917	-3.1511906377387398	1.531939919049171	6.690922666181297	-3.9715015008933485	-3.3833491473476527	6.5398141059913995
1-bromopropane	-1.475337240303852	0.3332258146280101	-5.3211425305943605	-7.23713263183241	-1.8116949220328484	-0.052403695586317675	-0.24272626970527217	-2.326704051616042	-2.5506969054727517	-5.653938448019636	0.9966791443621824	-1.4273954900215333	0.807071032519158	-0.6257497841500315	3.028935447326369	1.3450454389368762	0.9132607686182272	-0.2721864700192241	-0.992566774713263	-4.849888135266749	-1.469138625115253	1.1865760738288549	0.5831750360618994	-1.99539185505043	0.2933283817849114	-1.8358584349053277	0.43220642250363867	-0.7902136427931369	-3.1436717732320134	-2.8635887150699095	2.4850317621918756	0.228437738658857
1-butene	0.13656177571831238	0.18190224618282186	-3.3728670191996657	-3.8522810090696074	-3.3847909456767917	-5.000932669913247	-0.43944731599262804	0.20891737119029838	1.0025469550420385	-5.729711718344064	-2.9593412964948254	-2.416028110904748	1.8299221569671682	-1.0505879144042918	8.257654118018344	1.5691761969521711	-3.8709570987978816	-1.6276413125084335	-0.29866756190718863	3.8440230118224643	1.2746496066195407	-0.820543477896126	2.738056484402921	-0.3309297301741753	1.309940777426195	1.618074510898148	-0.6526557581468927	-1.1326679110515183	1.0048204326020964	2.2511576052799733	-0.4634815218091349	0.8497366321763599
1-chloro-2,2,2-trifluoroethane	-3.844501561317418	-1.4891511350327873	-1.4634958555089541	-3.745321084219023	10.14346149537187	3.8531635986394295	5.614945202954702	-3.595503976090188	-12.421205869885558	4.410455033985662	4.600621064815269	-0.5935128376108444	2.7325979077823876	0.07994130476212137	-4.650786524504761	2.447931384132768	-0.723516541830633	2.776957670568217	0.1921236419004746	-1.9335175231454926	-0.18913890878639014	1.6586161167785076	-4.49143205769479	-0.8684379220280808	-5.651500016913101	-1.5813416470184536	4.691584961793022	-1.0269142231621253	-5.120845464717032	-1.731060214511212	0.28414251990698547	-2.1420123709890238
1-chloro-2,2,2-trifluoroethyl_difluoromethyl_ether	-6.5605086422483785	3.629605108194037	1.1285582615933645	-2.822765752472761	14.040881523010398	12.17948528677783	-0.3169638126610819	3.5411761503499792	-12.036474242841345	-4.280423105318263	-4.056489778460502	-9.326239413738394	-2.753453879341403	-2.8676375729580137	4.673955654387165	2.6711257659901984	-3.8227722330839073	8.644712380252534	-1.9021588504727813	0.4306431410184516	4.0071890665123355	2.8393037034686475	-0.09517500322307482	-0.22015613983704946	3.814448877186933	0.9836674903059005	-1.551652596130059	0.7741852362556221	-2.5140295932825394	1.7684659454867981	2.672125209925747	-3.3327791236829145
