Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29
1-2-hexanediol	-1.628761649021883	1.9728851808297825	12.097404447263713	-3.998468860670758	0.07193157765330169	1.90320744367415	4.629827209549015	3.333117236407487	-2.434557247412684	-4.639337014419648	6.207886369425084	-1.348184658882864	1.3742781763776497	-3.478973489503827	7.906828454199843	-3.636711670649854	0.9188454794490363	1.729335904165497	1.0756050818510534	6.488168281184608	0.9600240503828722	4.3913815413603965	-1.2263159521218416	1.2487776847981127	-0.6129518136518057	-3.70881708708153	5.920545991194226	1.9929804966530427	0.2697319577859713
1-2-octanediol	1.0424912878802648	2.2549317214692066	16.330980436172815	-6.32798682598368	6.993726076096841	2.2127006486301144	4.728491173653646	2.112196370246916	-5.399244556389666	0.12250856984100987	0.3520081186482308	3.9720405796059306	-0.55804167959058	1.4409423069304397	-0.8614698596839806	0.4640627619650051	5.140785116027809	-1.6056786344335447	0.47488436171099224	-2.610622577690251	2.307628233759689	-1.6669808663154424	3.1866233138163995	4.666637930030857	-0.1924627363334815	-3.437323697838463	0.9029805330676922	-1.2634524474494628	0.23332584406581294
1-2-pentanediol	-0.45352041882564753	-1.2607851694413283	3.404027332034858	-2.5111043002993716	-5.242471800171342	0.23096331322959826	3.9119434347121578	4.8564180228044735	-4.463944866949645	-0.29919012592988586	5.893317389313099	-0.2781142575744794	6.048491408497275	2.337021057434651	1.408213797802167	-5.499910483235199	0.10251213410713286	6.255549079935872	-0.16203956633488134	-1.6671077677991781	-0.053807150107891645	-3.90271858497489	-1.0356957793275536	-1.8809909960006133	0.44413323907618163	-0.447289303085974	1.30915151370667	3.2472849137424036	-0.11038261378520235
1-2-propanediol	-3.7980627230606325	-4.360470654505509	-0.884925554304526	-2.962272338993433	4.532013399386944	-0.6161627161552244	-2.7243793779548207	0.7045942619340804	-4.132564830438544	-1.7275386804594253	0.5180729352713033	1.473039350322925	6.7083359279700625	-0.8967106725912238	4.478010328598625	-4.27542360861871	0.03668071207185489	2.2849251363797864	1.0874028998459697	3.8655195740093027	4.864798746849513	0.558487960200604	1.8243933163797748	-1.1126370239038321	-3.070885176865608	2.3012054018674384	-0.2915637636398696	-1.476447975885893	-1.005042721810944
1-3-butanediol	-3.278791854669321	-1.0771474214646801	-1.1599072435498303	5.713912937504331	2.3791093546035382	-1.9093469771970808	-2.658334901668602	-2.5642598340706337	5.397779408835209	2.8155692523232587	-2.4907529223043743	2.4005655396864705	0.4294349044511368	0.8461122528270548	1.0446928687729786	1.4162042849936345	3.5116258407679934	-7.561338794455733	-1.4740285664745019	-1.826550548431094	1.292380471168282	-3.208020480949151	2.7601846394419587	1.215224010771412	-1.654710462329438	-3.671869548683174	-0.632058283610554	-3.3628594006275714	-2.9603946741103586
1-4-Benzenediol	1.7735247602060136	11.070195831408126	8.284543879524872	16.500887660561144	4.6163789210911705	-2.79518896377633	3.163075240532801	-3.2199116043802247	-9.773064753520423	-2.966993513870386	1.4537023322373739	5.9127768519798245	-7.787623294752028	-3.2763651620399403	5.256995177465667	-3.5836338685041675	1.502485175463383	3.416278033200795	-0.20011778347822784	-0.8551488702879574	2.8773956518315416	1.5991508147728064	3.4881021804447547	1.2693289740454226	2.9703287296465763	5.862197364074411	-2.938359613438707	-1.250506429472952	2.7392242949911005
1-4-butanediol	-1.8652998597163197	-1.745267956474925	1.6721830382182037	-3.2714989675150723	0.2373820322303129	2.55901350209191	-1.3867755742794965	-0.9663006643912463	-1.9043695802208997	-1.7866421386559392	8.23003012441451	-2.1523654315740215	-0.6296494052294116	2.2859892876542194	2.2698572543901117	2.993204493505288	-3.0178595821366327	5.929574121742458	-3.3051022584767042	1.700468745931966	4.7497740232534955	0.30442761051755246	-0.9557258071010312	1.7999809939631626	-3.485071440532612	-2.2128775354019665	-1.326587139105306	-0.021924314492285712	2.1061790193271808
1-bromo-1,2,2,2-tetrafluoroethane	-2.385062821753499	-3.248786307509855	-1.0533900615636225	-2.575929238214593	-3.7227958884915133	-3.5015493521325953	0.6521940843687656	9.599512881035022	-1.4513752382853031	5.085771259137009	-1.2805357828570496	0.16144691278437323	4.2295224124875865	-3.3157584874312103	3.7586713837401806	0.683626606124738	3.0803924225628143	-2.530616651634411	-5.168173194042122	-4.847347608492093	3.916977231318238	0.26387234551917277	3.014866672938053	1.6353644694013794	7.847389378703053	-0.7385344035396539	-3.0246647812547627	3.9625966820264487	4.926140761906916
1-bromo-1-chloro-2,2,2-trifluoroethane	-1.7758431778705128	-4.328213084851396	-4.472497506297185	-0.43028873742715346	-7.67917197410098	4.165058245886802	-2.411926050304737	4.809345732896444	-3.1132254720186974	3.258042902804465	-6.4055828520267175	-1.7745567708168373	2.8884299319292985	-0.5698426314468852	4.035603399161523	-2.541400196673578	-1.5854552504482156	-5.920714534670141	1.9586530711774015	2.916776196383609	-2.579701561643959	4.417262525670924	2.0654622879612066	-1.3052179304228197	0.3626046423429949	4.52777215152429	-1.9941641340101628	-4.589465014808738	-1.3723733835391105
1-bromo-2-chloroethane	-3.518982938631544	-3.8584215508275927	-5.18118147089394	0.7739899893306549	-4.106522242568006	-0.19932168984068713	-1.5366913195788496	0.33634505894715194	2.051602542587193	-2.193915867125146	-2.759576352311257	4.569160750382123	-0.05455528409658607	3.90637587889213	2.4189492967884347	0.2639628805251782	0.1325320280229301	-4.339107544912849	0.6724567216581018	-3.335104952245921	1.8569300026485105	-2.0422471119949708	-2.2494789427365007	4.0406722498796235	0.792046339346939	-0.8695182409385659	6.173073670311766	2.010872603719251	-3.0336521037521833
1-Bromobutane	-3.6154209843401626	-1.8195168714644787	3.8575254974295086	-8.653693667143376	-2.496810869305171	1.1943639939702235	3.5454081386716787	-1.1849598177646645	-7.350041267850334	0.9102902265795088	-2.6463901883263157	-1.796545300775435	-0.4637103533803203	-2.1794479042845234	-4.136376952534011	-0.35929477418904926	-0.5954251168661234	-4.886986830422681	4.021876424990511	0.8066008020870744	-0.45279526518201885	0.9652910417021744	-1.833767782066933	3.323258290751654	-5.331741469644561	1.6788299667445186	-1.661335272921759	-3.196731540285332	-0.31546522183360914
