Molecule	PC1	PC2	PC3	PC4	PC5	PC6
1-nitrobutane	-1.4988706501816715	-5.622005058573034	-10.621581513790325	2.0440601435913983	1.4587510916879265	-5.743366414931958
1-nitropropane	-2.495648218359041	-2.905084794915764	-1.7330269248542307	-1.2925820795195384	4.768324853750301	0.9381012734155543
1-pentene	-5.29793029135557	-1.1788186279033779	-3.2733913025743466	1.6614065115025551	-3.020765309866841	-5.855476856437633
1-pentyne	-5.891921079595043	2.1267065491107497	-2.8451911616294727	-0.018724229874602448	-3.842411462434896	4.861424653545533
1-propanethiol	-6.2102486434795665	-5.970223271721386	3.609508159970042	0.4639597842167767	0.6764469613573507	-3.608557592970961
2-3-4-Trihydroxybenz	-0.4613527685881967	0.29851259185353424	2.04710317007896	3.770572177278024	-2.6388029743322376	19.84600570196292
2-3-butanediol	-4.33066374277899	2.0865806295800358	-5.185327676868084	1.8730762080378995	2.4090767373708926	3.9670154873999675
2-Ethylphenol	-2.853604334961659	-3.197297969072868	5.43527038695039	5.989219919751116	0.1379324957002606	0.5563986982182548
2-Hydroxy-1-naphthaldehyde	0.07122216355954213	-1.8148807868179047	2.6925427136426663	2.228825761191381	0.9752726398566606	8.570861185001204
2-Methoxyphenol	-7.868389530121089	-10.38389102070603	0.32270003011661585	0.6590626473735989	-7.851265148702005	-5.204191673987019
2-naphthylamine	-3.2285722492843836	-1.8339228921583859	1.2770206944174505	6.344869534031361	-1.601325811849518	-0.3757001097526746
2-napthol	-1.363362800656773	-7.6170931296834	5.574526915287715	2.9713392041294875	-1.269165322855687	0.7908166909966492
2-Propylphenol	-0.9745266702021043	-1.060171121136697	8.955939241214097	7.606648953969039	1.790769093764085	1.6251572368435292
3-Chloro-bicyclo-dimethyl_phosphate	0.8794011595868204	9.132701998456257	2.312605831117325	10.528055457397096	4.487566589887898	-4.500296826295874
3-chlorophenol	-2.8564342290916582	-2.7642731287543856	-0.6590046096987527	4.604415629201467	-5.058993363753491	5.094871863220788
3-nitrophenol	-1.136294864529106	-4.058060950409287	2.0085243361462	-6.737563688946996	-9.738535507869601	-1.8122959163789139
4-chlorophenol	-3.4929589057759802	3.0277982015490066	3.8404427720121133	-1.699024985936872	-2.6490929161036223	-5.441395544324452
4-Ethylphenol	-4.340887152672002	-1.7103383827829883	10.254633311319116	-0.301061018621082	-4.403703105861427	-5.156402061090609
4-Hydroxypentanoic_acid	-2.257420849696217	0.9415547750685372	-10.270001139155776	0.6515856378113166	0.783479583696927	-5.638294375620427
4-methylphenol	-3.691067718067148	-7.685970949076223	5.414666568971548	0.8822677086949908	-2.0749025293548864	-3.413886608529597
4-nitrophenol	-1.6332445084160707	-10.653259865522493	7.283828339706698	-5.7007333838504115	2.874579025677611	1.5306386002792378
bare_surface	201.21663138913183	-0.8966837802396668	-1.2170195018218994	-0.3059163199837663	-0.9833644429297994	-0.2766556883307467
Benzaldehyde	-2.8372231217795836	-10.694046272158134	7.06845545245587	1.9342027279641505	6.006632470523143	0.23312125217243684
Betaine	-5.618813918309726	-5.7308526557353225	-2.1177888888898826	-1.9298718757501057	-3.7546474937744367	4.641045509208712
Butanoic_acid	-3.370179290001837	1.4516505940177926	-2.7291297539612844	0.9392357489565938	-1.9623451795822864	-7.1772211532698575
butanol	-4.9883502214982816	-0.8993610037584653	-3.746561707089377	2.0894777513495133	2.2231113843057293	-3.422698648192828
cyclohexanol	-4.057120923041365	3.911256699050644	-5.492458458644045	-0.32094993612687556	0.390183193584523	-9.415950877269662
