Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18
2,4-dimethylpyridine	-2.97356416203681	-0.688057138733256	-4.1017550696460034	5.614020428634143	1.6111452698323059	1.4429903853928208	-1.4422395019179743	2.338112126421522	2.04761661028807	-2.7429861926925736	-4.850607991399887	-4.395346165881581	7.1204339102590275	-4.7010219634582	5.03572505247407	-4.453298779654766	2.526825535315068	0.8516846414552695
2,5-dimethylpyridine	-3.050079512100837	0.7634527627051948	-3.864938576637857	3.133015328963399	1.3844633500366075	-1.6384170216134366	0.5121155320872242	4.026490005028351	-2.7679063578826666	-2.9179409807998864	-2.029857587334725	-0.3111891644440952	0.36966810815387385	3.774716785496746	2.48920425467256	0.8437845020842891	-0.6803151980863443	-0.31822801212439733
2,6-dichlorobenzonitrile	-2.0163400835121688	-0.9084109166807071	0.9807681609643849	-1.8313588703579762	3.903384880112643	-5.2466044129333005	1.1352544987935957	0.5652053019388137	5.3420639389148965	8.236859181680435	5.444370795585178	1.8129761740079133	0.31597014459619543	4.481967337701294	-4.110322183546487	0.4945980715574398	-2.075170168014506	-2.290098564596217
2,6-dichlorothiobenzamide	0.260085728857278	4.083779578712633	1.7086793916026712	9.429517587201648	2.935789152303672	0.8856469567519362	-4.92923640850045	-9.098438444439745	-1.7745118322366684	-2.3876881485285266	-4.070254303998302	-3.865198260302871	-4.405596210011396	1.6296392398494357	3.2728697662134456	1.737654165599557	2.0403667557516716	7.9570127012468665
2,6-dimethylpyridine	-3.125136457031593	-1.5448373793980335	-6.233996652050523	0.4827491007767063	-5.5907765381052705	-5.023373314009178	1.0767175125384667	7.335888438285143	-2.4480047862784597	5.3749757209311255	-4.149208001493544	-0.7358254532427021	3.5686924273074054	0.7974652896597396	2.2371298874922356	0.0736355554167842	-2.0633315919879327	1.0654815800366528
2-3-4-Trihydroxybenz	1.8146463821838397	2.783723287331303	-3.6419055887002245	8.581168042860977	-3.073289908467968	-0.11670150522934859	-0.9883492115296256	6.126639192994672	-10.521628578267297	-7.315498053173096	2.2475466324513356	3.5246823733659784	-2.273326355394412	0.3662462760443274	-1.4187853789026452	-11.802047051906255	-7.460367228562091	-2.06923360498813
2-3-butanediol	-3.081211181302138	-0.6977891273461948	1.8360482569984353	2.937596474519557	1.7187691487299455	-5.068930236962214	2.7340869208936533	6.244995821989717	1.628733765479935	3.7583253572298516	4.88720873317137	0.10274501990191945	-2.3710961051133728	2.9879805508898345	4.648916936249289	5.372810154544291	-0.4422860215407498	-2.7565746448371056
2-bromopropane	-3.7986023060843714	-6.831544213351277	-0.497782012831587	-2.241926449197418	-0.4149059800688242	-1.4294328885196776	2.1351632720578158	-1.0049978960035029	-0.7382812087718043	-2.2831619620462713	3.2262824615057912	0.9440522616041624	-3.563050538687779	0.7421966523786319	-4.182028227242657	-8.500323379630304	1.8250612182513601	3.139789485526065
2-butanone	-3.394442575536046	-3.284316467190046	-4.705840521259219	3.3337787190080252	0.13530202498906618	-1.0032759807014313	2.1819316329934	-2.245427254768487	-6.539652699187573	-0.7768324769016788	-0.9624135984492165	-1.6715857272098227	-0.1702663330071872	-0.5168048105023637	1.3459613096185918	1.1602150350460054	1.1246986987142757	-0.6737527168048216
2-chlorobutane	-3.8201104638959738	-5.533147693792879	1.3598654593690886	-4.689973999484774	-2.6052690503447016	-3.1675606257768956	-5.043365889178769	-2.2609947680992097	-0.8770855724229678	0.6889653997520789	0.6277935878241364	-5.347452922726236	-1.3935797335839037	4.264569177479606	-3.0586866308172533	-4.590909760035992	1.7289137059084794	-0.07707004442043247
