Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
1,2-dichloroethene	-2.351806407836726	-4.765599705565065	-1.3127720679199333	-1.216304646835221	-0.8576322516403033	3.8541499934710095	0.47972671297474323	-0.005065055088770309	-2.154127626097634	-0.6776452743006859	2.9546233200268297	-7.6600110150567495	-2.005143098830932	-0.14932699930170323	-3.7013280626648983	1.337978442906717	-0.40182174824479155	-0.05743094485270371	0.7829989024777616
1,2-ethanediamine	-3.6298600759059614	-5.890847886602808	-3.3663126044864646	0.5590922440325384	1.9755052868896168	-1.311630584984711	1.0199559075120173	-0.16079170071278212	0.2648603836743285	-0.6681207923889473	0.48976747873083204	0.5574012595490294	-0.43914593625834814	3.16542137913947	1.3672300274344156	0.016828170310989835	-1.414325596776232	-2.9414012640706697	-0.26250318435077424
1,3-Butadiene	-3.0761509476250386	-5.979273289411182	-2.1592463898279664	0.7948160449961319	-0.5881699622121662	-0.1515641361839504	4.188559809894777	-0.18566026131101546	-0.38010951420543754	-2.565553934636896	2.226622411520234	0.1615854188606599	-5.481316159478279	7.458304338781138	2.4415497332668403	0.904906138880361	1.7440320430595706	-0.4484320345547933	-0.7889183029375877
1,4-dichlorobenzene	-0.6135814800355437	-4.48430112444281	2.0682290517201	-2.380658351327169	-0.01447325582935997	2.0839712806132744	1.8260714982877264	3.3006198818068806	-0.6462486812629552	2.2910832123787515	-10.69544350671847	1.3100425412462595	5.554766599179043	-4.37396811486512	-7.787782262054234	3.311760446252019	1.6038482478172063	2.8407631560243134	-0.11956920805088436
1,4-dioxane	-2.5183596781796975	-5.056788690557729	-0.6805217704337556	-1.1838212657801093	0.29305826091215303	2.3276841074346106	-2.5601161037530598	1.291747490739434	4.773337080248582	6.850374037926986	-1.013597907903349	-0.7135930492413599	2.760528734298785	-2.3460908627759753	-2.9001516745574154	3.5653439640586835	-2.9978643025409	5.598944550627376	-6.031814268144705
1-2-3-hexanetriol	2.128320943512431	24.213941911342122	7.121189390641632	-9.237014997841928	-1.3990440171962883	-0.7200836421142873	-1.1521338391022578	4.79089225858607	1.5952925062261003	-4.088745586636824	1.339026390159363	-5.422864584651866	2.581285372053151	1.0024038890987512	1.75449945649991	-1.9349592934620308	-0.12366334258551763	5.653359618318147	-0.5102778310486106
1-2-Benzenediol	0.9436032149316388	-4.746657754840333	7.0941084248725295	-0.8866242760693711	-7.118834989803013	1.0497256393130119	-2.0097378161206216	2.157212050283584	-0.6922692079214349	-1.7872996744358727	-2.2270222889487856	3.6344731794694414	-6.285720715846461	3.3224959427057104	-8.527921465009916	5.486729508448862	-3.673332020035433	-2.07483981556715	-2.355112837968013
1-2-butanediol	-0.8672142462197874	19.438427752713427	-0.998184410042079	-3.6794659742030156	-2.13510668326039	-2.6585507296232227	-0.06467272292578122	0.38130487242282096	6.638721872310694	4.052850799254258	0.5389732806765739	-0.08347767419432549	1.4451822384603759	-2.1146194938572527	6.3835939709099	-0.7257378406619736	1.378450598190127	0.5104793437220421	-2.574900880235903
1-2-Dimethoxyethane	-0.6264903004973431	16.166581327483584	0.23101043013653474	-10.827690800082843	0.36017277828478705	-5.50507501461606	-2.0476945010393868	-2.452837320600326	0.47153170793182475	-1.9994604024930545	-0.7098990990099764	1.0829161521369943	3.2189834656570095	-1.2094239756324228	-2.729333201424919	5.507797678569823	3.5037210158119385	-6.771583614550243	0.8170781853184842
1-2-ethanediol	-3.1907370040955683	12.40682896876357	-4.6771548893186905	-0.3161430239478343	-1.8645610812845328	3.012125473673388	1.2004165064136554	-1.2848649075983856	0.8862773286882439	0.1612685759937679	0.7732451108322272	-0.9028207388611342	4.678978665718471	-3.730724430983216	1.022547558449822	6.111848369835603	6.196908804899191	-3.0938987380701213	-3.5101427498043973
