Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
1-2-Benzenediol	-1.9120149737507326	12.677388028234255	4.600809539381559	-1.1514361368884236	-18.072722415925373	-6.282687410997507	4.968241833815194	7.455014311235174	24.93677590605743	1.7215648306869333	6.256547331397583	-1.3471836232316172	-5.236402301146458	0.11386774093693966	5.748199138390737	1.8761862081581748
1-2-butanediol	-2.244657409121054	-5.941374738532276	0.12122957521016664	-0.20048563727428007	1.751368802218048	1.7977908253303183	-0.07489005425759616	-3.5094595848540178	-0.08705567792777043	-2.1811381148856306	0.8330119013620565	0.6152428742445571	-1.8233050310109538	-1.0498072812100836	9.164445870074948	-1.2809256295223241
1-2-Dimethoxyethane	-1.6255275663078321	-5.657970222907839	-3.7444264139089705	-2.456125124468457	-0.35323066574694933	0.2945353933057751	-5.9969963453945505	-1.03273898349885	1.5792706062956294	0.9940633691833387	-6.945915287486803	8.823380747755849	1.896652121757317	2.111926012644786	-0.3750402675360517	-2.0207351629339434
1-2-ethanediol	-1.094208098238735	-5.9586460029851125	-2.8678380707982263	1.8128398562515953	-1.3033402745055491	-2.334161316089819	-2.1522729797918756	-5.717432037091747	-2.8683475969234347	-3.9305694987354625	3.528292659702392	-5.690510217841143	-0.3824461323031019	-2.061596384239023	6.417729802351277	-1.5563903901995566
1-2-heptanediol	-3.961948273440294	-10.89036010499758	7.220675555254586	-0.9147248351984076	-1.3076988895873711	-3.3903385952358303	1.1985912654380888	-0.894340808238201	-2.5170274843233025	6.715576290296967	0.2569560432541997	10.634226965825576	1.5000315437566942	3.011943695796637	3.941444398375185	2.7202104932029263
1-2-hexanediol	-3.4780669603708034	-10.518727598291154	6.214420498923827	0.3003579912733335	4.1172480887006815	-3.5990738492809244	4.295006480065661	-1.80104457448549	-4.800410628786456	0.16625476557872684	-2.2814640516609597	9.352257782777741	-4.077890303411659	-0.20501202335919186	6.470086148611888	0.9328459091558503
1-2-octanediol	-4.220684892727567	-12.269979887050173	6.901065869463271	1.0102495063374135	0.9477708255781033	-6.566690881816029	3.8660426686862768	2.224146803682228	-0.34432051625277565	10.322770909734022	-1.0120945153121275	4.374990364523338	7.41390447888582	-0.8273089337130717	0.8483830419579809	2.6844519225630337
1-2-pentanediol	-2.8820479970261386	-7.742217220988059	3.236770442910199	0.31258539953207426	2.561621454148822	3.3239257411651724	2.76526448957282	0.6996706001955625	2.235690855295735	-1.9310707359776527	-3.066064333135091	3.4136943084291165	-6.840405755532478	1.757745538274215	0.14824617246475758	-4.851230428891062
1-2-propanediol	-1.5437710743840982	-5.726652007882901	-2.465637973577939	-0.07120000807830133	-3.4015982416349773	-0.6783601917422761	-3.628228757032719	-1.2391053449930174	-2.547524545863551	-5.318436896075501	1.039652190803898	0.3719483749838582	-2.026267955178159	1.3528517155930468	-4.36108628628511	-5.334485760730164
1-3-butanediol	-1.5463983929962866	-1.6680796443768735	0.4816538943464811	-0.9273728881888907	-3.037610403755169	1.7411237569597728	-3.0088873576819744	2.835192843577099	-0.30221407118766447	0.4604221505230918	2.117930040673738	-8.21289087123197	8.16299998633747	2.6160189759672474	3.032419928363693	4.435837616853494
