Molecule	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34
1-2-Benzenediol	0.658720802956005	12.55616445188083	4.329846717910163	-7.387699603995188	-3.845120817674912	19.950273264013855	-7.827554136208785	6.487726678630187	1.72442032880861	-13.183135796378997	-12.933435364863794	-7.904596965963691	-8.756900158615501	1.1012890997764964	-2.522585936678634	4.473330555356153	8.94979053535907	7.074787504309016	4.474175867280413	1.9440546633955211	2.062357694327071	-4.993136915918869	-2.3744403883653615	-1.9139847857634729	0.7887843191861805	-0.14750996053285584	-3.655544075525108	0.383456324418781	0.8203733444986945	-2.6714165486874935	-3.1291815374802363	0.8533338580166459	0.7873180001734069	-0.5450923798812108
1-2-butanediol	-1.6980304257146288	-5.0735698915255725	-2.331972354651958	-2.8099390048959387	-3.1813057930420356	2.9985806889355144	-2.43014520563224	1.2252718290108446	5.602510621119133	6.997037587463464	4.32910023414883	3.6085231418646915	-6.652162364346059	2.439433713246161	-6.301236503082414	3.166079523096925	-2.779164443574127	-4.288075456850123	-4.323072907388965	-0.5329299577686529	0.32471011042770587	3.4092865674609016	-3.852528227544175	-5.479115799025422	-1.733990756336598	-1.352851627946836	-4.359564177006158	5.264824656473156	1.8351061968854963	1.92539192041522	2.439997970701495	-2.008938277127149	-0.5637989620836285	-0.07235697169859344
1-2-Dimethoxyethane	-2.141950340723306	-0.2043917036992231	0.8391580194880746	3.1874359703881843	4.907339382787913	-5.102575298181298	3.74944873280399	1.1725585725463215	4.7209188147747705	-4.068875108549306	-3.806712252031251	-7.40127901045611	-6.78801508749195	-4.5292069607092635	-1.2001335986480048	-4.65298609711645	0.7513419157569996	-8.597566952739388	-6.3675950106725665	-4.911909227046715	0.17048445781655974	-3.134646602168657	-0.35662687797024667	0.5821615029258908	2.5703683091570952	-2.7120621568235967	-2.636779967970031	-2.650522581080525	1.7633806960276726	-5.826500798260758	-0.04824409836096122	-3.626643701329193	-2.5704632460612817	-2.2522380438015293
1-2-ethanediol	0.33336517211437583	-4.8251052836221	-2.2021698125211255	-4.996778181826665	1.0209457135972306	0.5949558751746169	3.3976532140877516	2.120603842875295	2.616334706524407	-2.535869259744278	-1.540622360551965	2.506064789100901	-5.373647929967623	0.7308515636620454	-0.9462768861342749	-3.989934317273881	1.5917442410177507	-4.558241272893865	4.867435407339225	-2.452228190866439	2.458426955190165	-1.9968587409327778	0.5505018729382734	-3.1862936082864346	-4.2240822254361	-5.339533575517873	-0.5475261636060392	-2.6120713847428045	1.7545093444526552	0.6855866770107865	-0.7526255893160622	-6.617802733084976	-5.220122284550627	-0.001184940896688576
1-2-heptanediol	-2.5873158141385226	-0.6513156245583217	-11.714488981109202	-5.516586146181932	8.921989430905375	4.0330206421258445	-6.300072469814631	-0.061504708591296454	9.597186073646053	-2.606738286894562	5.186662147268655	-6.320505403555313	-5.581188639471083	-1.8400324037427285	3.6121518325597135	-1.1684302539471731	3.017605696121338	-1.9362050019888437	-4.643797941151809	3.662474167968785	2.1037561484532077	1.9138482790628646	6.496154745582602	-1.3112723969671123	-3.89619637934708	2.828666422548109	-1.8030994720300253	-5.62430774380112	-2.4094379161939177	2.6133712291446276	2.115520469290883	5.380736996860861	-3.915339223438159	-2.324602775110668
1-2-hexanediol	-1.0158567160167826	-2.7135993621326113	-10.001265259288257	-2.0996029735642328	3.262195079756618	-2.350342883412775	-7.155473131172071	-3.615020220647753	9.554123014822393	3.0859222923057095	7.879210645303596	-0.1097904503146858	3.98903468093252	-1.502835765249137	-3.7365912831347865	0.36084194657014146	1.1334812971248218	9.759962851914363	-3.855373645645024	1.8362023793157085	2.45458448760018	-2.7198353749688593	0.7522020303062942	-0.5932629110656779	-0.40761042088328603	-1.5081145882020068	2.4685938490251758	0.6927234574178266	-0.9089629965717162	4.2219488709912065	-7.51671879884384	-1.6608188783198836	-2.138361715098393	3.3707451091837424
1-2-octanediol	-2.0643577057556577	4.950780904517109	-11.439378713789665	-8.299787324768099	10.535189722718062	0.6777376898051193	-2.6002192205822103	1.4672078828323838	5.010361531634228	-1.2437295269427793	8.911053087155654	-5.807326842001453	5.8563691555135495	-6.285943736562336	2.910226228026892	-0.8585412414376887	2.4236166853162797	-3.117506189584266	5.767864018340642	6.112959068119596	-2.087204362356992	2.9748083359430706	-4.319294098795006	2.9770395937080796	6.875726428423749	5.488902338173537	1.0133296107829977	5.948221700683809	-0.8577811154245808	0.6223033450575108	-2.735087400683428	2.110173041245765	1.7160723470633128	-1.454299970901079
1-2-pentanediol	-3.3375351954743686	-3.3874064280006397	-7.464269604837101	-4.781009340143846	-3.0677557470900907	4.9532284522108245	-1.6618127540893615	0.3265728336640767	-0.9187079048300216	-3.2745556260961672	3.776942767871956	2.872047808411295	-1.8588331366152488	1.585012442212772	-0.2336516603620203	-5.067614096180377	-2.4990397807437166	5.1360369432380955	-3.1469769535577887	6.471800983678833	-4.89700516202157	8.346233409560108	-3.1622353938794827	4.22227017274733	-4.803437887468412	-3.418241916582841	-2.2929604977956446	-1.297456332433912	-1.9246734518388857	-0.130695074981244	-3.461688277755222	3.8373756269232757	-0.3185857825596748	-1.839739603535551
1-2-propanediol	-0.15952270619565487	-4.312844333562905	-2.2047185013263833	-3.099267664568407	1.6917884311063935	-1.6600778536666743	-0.2531770305856846	1.9752789604052345	-3.785163163550513	-2.8667572494271516	0.2652603649005203	2.836469511413362	-1.4127941877700263	-2.6618833182613573	0.13622546925041915	0.27719099570186256	-5.898559900646727	5.691257611426948	-1.9555907137384756	-0.31969881620883783	-2.6839305835390537	-3.3311760147871583	-1.3125209406914409	-1.0883622588342117	-3.990691851766087	-1.0385156678723184	2.7407405324185827	-2.2081608966981148	0.9092022562454389	-0.19792359164768028	0.8846871420475562	-5.805389943187284	1.779313352038227	-6.644774082577589
1-3-butanediol	-1.3454104212820834	0.6610342748367836	-1.6462231853395588	3.395922152502977	1.4577966382250571	-2.20496239329052	0.46276815339316263	2.0018901237092472	-7.80881853517485	0.4021570866387695	-5.046915806896922	0.34165225565761254	3.239746980793283	0.25117174183377866	-4.071463549432742	-4.760695435453595	4.7476280362216965	-6.318280388668902	3.8177593585384404	-0.6998077605575271	4.167199943586086	-1.593627081553169	-1.7710365343432384	-4.658342234649389	-1.3139086931693045	-1.510870428735945	-0.8735318465125248	2.129318449889078	0.4635225945526037	3.790637497944151	0.8258576055428091	2.9412814195131882	-3.4605142584373336	9.301077281678959
1-4-Benzenediol	-1.9616336150730036	35.7163054491569	-6.544769427155662	-10.405593475545423	0.8377741305571654	-6.448544002543799	7.130738970686455	-2.1176694675123264	-3.463972455842158	-0.20724401455739747	0.5177363735015127	10.011879864904763	-8.789488273003025	-12.497651804581283	-1.0375800626440832	-3.3139673860474175	-2.1456106704662714	1.4415170628838851	1.8089191501202404	-3.817240560672057	1.438246394086535	2.5803897154978954	2.1226633679694973	-3.2770601996252138	3.9534263271929175	-2.1185583976330444	5.816356679171866	0.9695191419914644	1.6464516458909975	-1.1850649948917638	-1.0656164940244686	1.5351459553694144	0.44976796308447453	-1.011020228903135
1-4-butanediol	-2.362587330623732	-5.236109680892887	-1.827439057083274	-4.692760986495519	-1.2880091673008267	-2.56489184061072	-2.7287564655477285	1.455854927643982	3.8887339234427163	4.3810108283060245	4.0216294211742785	5.997078551237411	-2.182070550619297	5.263265193198901	-6.610360920925674	1.6642204173259196	-3.6861617332589716	4.814615283165004	2.5052598512688977	-0.10672652571813858	0.2971648049253824	-2.982757385349664	-5.536126087549146	-2.416003280408964	1.9156846464745965	-2.170905409885173	1.4250020922125763	1.7318568990362138	4.2041352446869125	-0.9827489765916856	5.393632390310886	0.47922349689633564	1.2367451228780693	-3.419610321485866
